Back to Contents,Data 1: Retail
Sourcekey,EMM_EPMR_PTE_NUS_DPG
Date,Weekly U.S. Regular All Formulations Retail Gasoline Prices  (Dollars per Gallon)
2001-06-11 00:00:00,1.647
2001-06-18 00:00:00,1.601
2001-06-25 00:00:00,1.538
2001-07-02 00:00:00,1.474
2001-07-09 00:00:00,1.437
2001-07-16 00:00:00,1.413
2001-07-23 00:00:00,1.395
2001-07-30 00:00:00,1.384
2001-08-06 00:00:00,1.376
2001-08-13 00:00:00,1.392
2001-08-20 00:00:00,1.427
2001-08-27 00:00:00,1.488
2001-09-03 00:00:00,1.545
2001-09-10 00:00:00,1.527
2001-09-17 00:00:00,1.529
2001-09-24 00:00:00,1.485
2001-10-01 00:00:00,1.416
2001-10-08 00:00:00,1.352
2001-10-15 00:00:00,1.309
2001-10-22 00:00:00,1.265
2001-10-29 00:00:00,1.235
2001-11-05 00:00:00,1.206
2001-11-12 00:00:00,1.182
2001-11-19 00:00:00,1.167
2001-11-26 00:00:00,1.127
2001-12-03 00:00:00,1.108
2001-12-10 00:00:00,1.095
2001-12-17 00:00:00,1.059
2001-12-24 00:00:00,1.072
2001-12-31 00:00:00,1.096
2002-01-07 00:00:00,1.112
2002-01-14 00:00:00,1.111
2002-01-21 00:00:00,1.105
2002-01-28 00:00:00,1.101
2002-02-04 00:00:00,1.116
2002-02-11 00:00:00,1.107
2002-02-18 00:00:00,1.116
2002-02-25 00:00:00,1.116
2002-03-04 00:00:00,1.144
2002-03-11 00:00:00,1.223
2002-03-18 00:00:00,1.288
2002-03-25 00:00:00,1.342
2002-04-01 00:00:00,1.371
2002-04-08 00:00:00,1.413
2002-04-15 00:00:00,1.404
2002-04-22 00:00:00,1.404
2002-04-29 00:00:00,1.393
2002-05-06 00:00:00,1.395
2002-05-13 00:00:00,1.388
2002-05-20 00:00:00,1.397
2002-05-27 00:00:00,1.387
2002-06-03 00:00:00,1.392
2002-06-10 00:00:00,1.375
2002-06-17 00:00:00,1.378
2002-06-24 00:00:00,1.384
2002-07-01 00:00:00,1.392
2002-07-08 00:00:00,1.382
2002-07-15 00:00:00,1.394
2002-07-22 00:00:00,1.41
2002-07-29 00:00:00,1.407
2002-08-05 00:00:00,1.395
2002-08-12 00:00:00,1.393
2002-08-19 00:00:00,1.392
2002-08-26 00:00:00,1.403
2002-09-02 00:00:00,1.394
